source,hyp,id,confidence
Estas,Istas,503,-0.36152383685112
hayas,fayas,3972,-0.32831570506095886
hijo,fillo,3998,-0.3718247711658478
cuya,cuya,2665,-0.3546912372112274
2016,2006,89,-0.36973774433135986
1988,1988,65,-0.34593358635902405
1939,1939,50,-0.3069250285625458
Está,Está,510,-0.3294143080711365
haya,haiga,3970,-0.36112889647483826
aves,aus,1805,-0.3418426215648651
2002,2002,78,-0.3055395483970642
1895,1895,47,-0.3415118455886841
hace,hace,3946,-0.37836939096450806
lado,lado,4401,-0.3277342915534973
hora,fora,4028,-0.33954325318336487
2008,2008,83,-0.3004131615161896
eran,yeran,3298,-0.3259418308734894
este,iste,3427,-0.3607495427131653
esté,esté,3475,-0.3826095461845398
1963,1963,55,-0.30793291330337524
2000,2000,77,-0.31063100695610046
1994,1994,69,-0.3888195753097534
Este,Este,504,-0.3580133020877838
2009,2009,84,-0.30048543214797974
frío,frio,3760,-0.366115927696228
1964,1964,56,-0.37411388754844666
1956,1956,53,-0.3504258394241333
1990,1990,67,-0.39941468834877014
está,está,3470,-0.35008299350738525
usan,usan,6733,-0.37379762530326843
2017,2007,90,-0.3602510988712311
hubo,hubo,4046,-0.3126296103000641
ojos,ojos,5055,-0.3283889889717102
roja,roya,6015,-0.32769492268562317
oro,oro,5109,-0.3143254518508911
500,500,137,-0.34530675411224365
muy,mui,4846,-0.3686065971851349
año,anyo,1821,-0.3698941767215729
aún,aún,1823,-0.3801633417606354
400,400,126,-0.3142341077327728
Lea,Lea,734,-0.3704558312892914
oso,oso,5119,-0.32490602135658264
sur,sur,6385,-0.3070636987686157
una,una,6710,-0.37212103605270386
usa,usa,6730,-0.32428625226020813
uso,uso,6739,-0.37605756521224976
Uno,Un,1220,-0.3124037981033325
ave,ave,1801,-0.38451725244522095
era,yera,3297,-0.3435121774673462
yo,yo,6947,-0.39682915806770325
Le,Le,733,-0.32896026968955994
Él,Él,6957,-0.3250591456890106
14,14,20,-0.3287544250488281
60,60,144,-0.33920931816101074
Al,Al,195,-0.35981065034866333
mi,mi,4712,-0.3866536617279053
da,da,2686,-0.3604185879230499
…,…,6992,-0.34194788336753845
e,e,3098,-0.32933515310287476
o,o,4988,-0.3449569344520569
estuvo,estuvo,3469,-0.3452655076980591
oscuro,oscuro,5117,-0.3399462401866913
prevé,prevé,5520,-0.31679993867874146
vemos,vemos,6792,-0.30436277389526367
hecha,feita,3974,-0.30199408531188965
oeste,l'ueste,5042,-0.3602072596549988
abajo,abaixo,1297,-0.3349909484386444
Otras,Atras,913,-0.31677481532096863
Otros,Atros,914,-0.3041301965713501
ellos,ells,3166,-0.3057138919830322
estas,estas,3424,-0.3464535176753998
hayan,hayan,3971,-0.3795662224292755
lados,laus,4402,-0.3039447069168091
todos,todos,6552,-0.3319283127784729
Mashhad,Mashad,787,-0.3529421389102936
Estado,Estato,499,-0.3552073836326599
amplio,amplio,1562,-0.3161175549030304
estuve,estuve,3465,-0.33712515234947205
usaban,usaban,6731,-0.3113599121570587
impuso,imposo,4118,-0.3063760995864868
hacíamos,faciamos,3954,-0.36903953552246094
hacerlo,facer-lo,3949,-0.3249126672744751
Estados,Estaus,500,-0.3145490288734436
hablado,charrau,3938,-0.3215937316417694
hacerse,facer-se,3950,-0.324870765209198
ucraniano,ucraniano,6708,-0.32432103157043457
recaudos,recauus,5762,-0.3834937512874603
Únicamente,unicament,6959,-0.3005549907684326
estuvieran,s'estieran,3467,-0.3822985887527466
Versalles,Versalls,1241,-0.3424510657787323
banquetes,banquetz,1838,-0.31318485736846924
generalizadamente,cheneralizata,3830,-0.31755656003952026
reconocimiento,reconoixemo,5794,-0.3448200821876526
motivacionales,motivacions,4803,-0.3095531761646271
significativos,significativo,6220,-0.3561961054801941
descomponerse,descomponerse,2843,-0.30771028995513916
especialistas,especialista,3355,-0.3841058015823364
desaparezcan,desapareixca,2823,-0.32210037112236023
conocimiento,conocimiento,2411,-0.33507755398750305
comerciantes,comerciant,2261,-0.33415457606315613
relacionadas,relacionau,5860,-0.37420207262039185
relacionada,relacionau,5859,-0.37902602553367615
fraccionada,fraccionau,3736,-0.3731200397014618
descorteses,descortess,2846,-0.33607205748558044
crecimiento,crecimiento,2572,-0.3230624198913574
