source,hyp,id,score
Africe,Africa,187,-6.0931
Agentura,Agentura,191,-6.74694
Agnostik,Agnostik,192,-6.8827
Aires,Aires,193,-6.48979
Amazonka,Amazonka,201,-6.47143
Americe,Amjerica,203,-6.14297
Americký,Amjeriski,204,-6.72559
Amesu,Amjesu,208,-6.91901
Anfa,Anfa,210,-6.61912
Angola,Angoła,213,-6.17988
Argentina,Argentina,223,-6.6087
Arizony,Arizony,228,-6.00056
Armand,Armandź,230,-6.94571
Arya,Arja,234,-6.57879
Ash,Ash,235,-6.72932
Atlantském,Atlantiskem,241,-6.61665
Atlantským,Atlantiskim,243,-6.72554
Audition,Audźition,248,-6.25135
Australská,Australska,252,-6.10597
Australský,Australski,253,-6.81884
Avšak,Awak,258,-6.90412
Ačkoliv,Ačkoliw,262,-6.39623
Baltském,Baltiskem,273,-6.55495
Barcelony,Barcelony,275,-6.1276
Bennet,Bennet,280,-6.62265
Bhog,Bhog,284,-6.07126
Bhutha,Bhutha,285,-6.64342
Biologické,Biologiskeje,289,-6.98947
Biškek,Biškoka,290,-6.08777
Brazílii,Brazilii,305,-6.50868
Bridge,Bridge,306,-6.55785
Brzezinski,Brzeziski,311,-6.62702
Buffala,Buffala,315,-6.34745
Bulharsku,Buhłarskej,316,-6.07807
Byly,Były,325,-6.37086
Byronem,Byronjem,326,-6.98523
Carpanedo,Carpanjedo,337,-6.86492
Casablanca,Casabłanca,340,-6.41743
Center,Canter,345,-6.09082
Cestovatelé,Castowatelej,346,-6.93954
Cestovní,Castowne,348,-6.96014
Cestování,Castowanje,349,-6.18911
Chambers,Chamjebjers,352,-6.46237
Cuerden,Cujerdźeń,377,-6.96113
Cuomo,Cuomo,378,-6.41985
DNA,DNA,382,-6.86195
Deity,Daity,397,-6.01009
Deklarace,Dakłarace,399,-6.60797
Dillonu,Dilonu,404,-6.66142
Divoké,Diwokeje,406,-6.25421
Doporučuje,Doporučuje,418,-6.99899
Doprovázel,Doprowazel,419,-6.75187
Dragoon,Drageon,422,-6.38931
Dreamer,Dreamjer,425,-6.08899
Drobné,Drobne,427,-6.60373
Druhé,Druhim,428,-6.57214
Dunlap,Dunlap,431,-6.87474
Dunlapa,Dunlapa,432,-6.40412
Edison,Edison,450,-6.58983
Edisona,Edisona,451,-6.25231
Emma,Emma,462,-6.41175
Haiti,Haiti,569,-6.01382
Hancock,Hancosk,576,-6.76029
Harbour,Hajerbor,578,-6.98201
Hebronu,Hebronu,583,-6.41802
Henry,Henjery,585,-6.53326
Hmyz,Hmyz,595,-6.96763
Hospital,Hospital,606,-6.32474
Hsien,Hsijan,610,-6.53945
Huhnem,Huhnjem,613,-6.42006
Internet,Internet,628,-6.89001
Iráku,Iraku,635,-6.87121
Ishikawa,Ishikawa,636,-6.93416
Islámského,Islamiskeho,638,-6.46222
Iwata,Iwata,646,-6.84039
Izmir,Ismir,647,-6.50112
Jeruzalém,Jeruzalem,686,-6.81556
Ježíše,Ježiše,688,-6.73316
Jiřího,Jiřiho,693,-6.96599
Jižní,Jižni,695,-6.70369
John,John,698,-6.18484
Johnem,Johnjem,701,-6.00172
Kanadě,Kanadźe,717,-6.24257
Karolíně,Karolinje,724,-6.80006
Katjou,Katoju,727,-6.51787
Kier,Hijar,735,-6.18245
Kivu,Hiwu,739,-6.03412
Kmen,Hmjeń,743,-6.0926
Knihy,Hnihi,744,-6.80192
Kolem,Kólem,747,-6.56792
Komety,Homety,749,-6.49232
Konečné,Kónčne,754,-6.66901
Kong,Hong,756,-6.04373
Kongres,Hongres,758,-6.01715
Kozy,Hozy,772,-6.6326
Kromě,Hromje,778,-6.82531
Kundalini,Kóndalini,785,-6.65395
Kvůli,Hwoli,788,-6.48536
Kácení,Kacenje,790,-6.33612
Lampa,Lampa,796,-6.20921
Larson,Larson,800,-6.75712
Lešení,Lěšenje,808,-6.77796
Lidé,Ludźe,812,-6.84807
Loiry,Loiry,817,-6.1226
Londýna,Lóndźina,818,-6.03847
Lovci,Lowci,821,-6.89271
Ludvík,Ludwik,823,-6.43816
Lví,Lwje,829,-6.47076
MS,MS,843,-6.07154
Madhya,Madhija,847,-6.84159
Medical,Madica,872,-6.11177
Menší,Meńši,876,-6.68034
Merenidy,Marjenidy,877,-6.29255
Millera,Milera,888,-6.90564
Mitchell,Mitchel,897,-6.82659
Montanou,Montanu,914,-6.56936
Montevideo,Montewidźeo,915,-6.98716
Mount,Mont,919,-6.14254
Mutace,Mutace,923,-6.17793
Myšlenka,Myšlenka,924,-6.07341
Mírové,Marowy,927,-6.51749
Místní,Mistarne,929,-6.46856
Místním,Mistnim,930,-6.85476
Měsíce,Lěsica,935,-6.90372
Navzdory,Nawzdory,959,-6.35945
Nejlepším,Najlěpšim,972,-6.9146
Nepříznivé,Njepřizniwe,985,-6.67967
Newt,Njewt,992,-6.23864
Niagarské,Niagarskeje,995,-6.42464
Nintendo,Nintendo,1000,-6.95926
Nobelovy,Nobelowy,1006,-6.45893
North,North,1012,-6.83944
Někdy,Njehdy,1028,-6.26226
Některé,Njektery,1031,-6.72522
Některým,Njekterym,1032,-6.02873
Němci,Njemci,1034,-6.36956
Období,Obdobi,1044,-6.12247
Observatoře,Obserwatorje,1051,-6.51776
Ogarzynska,Wogarsynska,1065,-6.72526
Ohiu,Wohiu,1066,-6.00511
Oldřich,Wołdrich,1070,-6.2478
Operace,Woperace,1078,-6.02347
Oravec,Worawac,1081,-6.38187
Originál,Woriginal,1083,-6.96572
Osobní,Wosowni,1085,-6.93471
Ottawa,Wottawa,1088,-6.49859
Our,Wour,1089,-6.08025
Ovladač,Wowladač,1090,-6.7255
Paříž,Pariž,1118,-6.13151
Paříže,Pariže,1120,-6.96812
People,Peopla,1124,-6.52432
Persii,Persii,1127,-6.17365
Picchu,Picichu,1133,-6.10778
Pláže,Płóže,1142,-6.17282
Pochopitelně,Pochopićelnje,1144,-6.97126
Podezřelé,Podźezřelej,1146,-6.6947
Pokusíme,Pokusymje,1154,-6.14809
Policejní,Policajna,1155,-6.57112
Poprvé,Poprwa,1161,-6.64755
Poradenství,Poradźenosće,1163,-6.07695
Poskytují,Poskituje,1166,-6.43919
Poukazuje,Pokazuje,1173,-6.72158
Pracovníci,Pracownici,1183,-6.445
Pradesh,Pradźesh,1184,-6.83728
Premiér,Premier,1188,-6.36359
Prezentované,Prezentowanje,1189,-6.92659
Prostřednictvím,Prostřednistwom,1198,-6.47061
Prozatímní,Prozatimni,1205,-6.47897
Punakha,Punakha,1216,-6.77128
Přerušení,Přerjenje,1229,-6.14378
Původní,Powodnje,1243,-6.36059
RS,RS,1246,-6.1705
Rahul,Rahul,1248,-6.06957
Rakousku,Rakuskej,1250,-6.79739
Rakušanka,Rakuanka,1251,-6.44417
Rezervace,Rezorwace,1257,-6.80385
Ring,Ring,1260,-6.03469
Romneyho,Romnejeho,1269,-6.08989
Ronald,Ronad,1271,-6.18284
Route,Rouće,1274,-6.00913
Rovněž,Rowněž,1275,-6.65413
Ručně,Ručnje,1283,-6.42336
Ryan,Ryan,1285,-6.13216
Schlegel,Schlegel,1321,-6.09911
Schumacher,Schumachor,1324,-6.85097
Segregace,Segregace,1331,-6.17544
Seventeen,Sewjenteon,1337,-6.43513
Sfinga,Sfinga,1341,-6.10447
Shark,Shark,1343,-6.16794
Shetlandy,Sehotlandy,1346,-6.56287
Shyam,Shyam,1350,-6.68814
Simpsonovi,Simpsonowi,1357,-6.78014
Simpsonovými,Simpsonowymi,1358,-6.02893
Slunce,Slunca,1373,-6.39059
Sluneční,Słónčni,1374,-6.84979
Spojenci,Swojenci,1388,-6.93119
Společnost,Společnosć,1391,-6.35827
Správce,Sprawca,1394,-6.34899
Standardním,Standardnim,1397,-6.2153
Starověká,Starowjeka,1401,-6.82601
States,States,1405,-6.1086
Stavba,Stawba,1406,-6.61423
Street,Strejeć,1414,-6.10694
Struktura,Struktura,1415,-6.16311
Studio,Studźio,1418,-6.0712
Taiwanu,Taiwanu,1452,-6.5971
Tajemství,Tajemosće,1453,-6.91538
Technologie,Tachnologija,1471,-6.09219
Tendulkar,Tóndulkar,1473,-6.53902
Termín,Termin,1476,-6.93549
Thomase,Tehomasa,1481,-6.23329
Thomson,Tehomson,1482,-6.24089
TogiNet,TogiNjeć,1488,-6.81355
Tokyo,Tokio,1491,-6.48965
Tracey,Tracey,1497,-6.94475
Tradiční,Tradični,1499,-6.98206
Turecko,Turesko,1508,-6.92585
Třmeny,Trmjeny,1523,-6.53689
Vatikánu,Watikanu,1554,-6.49158
Velkou,Welku,1560,-6.48604
Velké,Welskeje,1562,-6.27234
Versace,Wersace,1564,-6.05998
Veškerá,Wašera,1568,-6.1391
Veškerý,Wašery,1570,-6.03876
Victoria,Wistorina,1573,-6.66177
Vinson,Winoson,1576,-6.26124
Vlastnosti,Wlastnosći,1579,-6.33467
Vlhko,Whło,1580,-6.36881
Vrcholem,Wrcholem,1590,-6.70019
Vrcholnému,Wrchelnjemu,1592,-6.80653
Vrátím,Wratim,1593,-6.00546
Vyděšený,Wydźešeny,1594,-6.19834
Vylodění,Wylodźenje,1597,-6.98831
Válečné,Walečne,1604,-6.74005
Vánoce,Wanoca,1605,-6.0976
Výsledek,Wysledźek,1611,-6.14937
Výsledkem,Wysledka,1612,-6.84422
Výzkum,Wyzum,1614,-6.51154
Vědce,Wědca,1617,-6.97262
Všechna,Wšechna,1624,-6.51034
Všechny,Wšechny,1625,-6.69136
Zadruhé,Cadruhim,1657,-6.74344
Zajímáte-li,Zajimaće-li,1663,-6.00941
Zimní,Zamina,1675,-6.78365
Zjistili,Zjistili,1677,-6.68637
Zkuste,Zkusće,1680,-6.51999
Zábavný,Zabawny,1689,-6.49609
Zéland,Jelandź,1698,-6.02791
Zélandu,Jelandu,1699,-6.82321
absolutismu,absolutismu,1702,-6.32355
adaptace,adaptace,1708,-6.51372
adaptovat,adaptowat,1711,-6.02559
administrativu,administratiwu,1712,-6.38925
afghánská,afganska,1715,-6.36015
agentů,agento,1722,-6.06554
alergické,alergiskeje,1742,-6.325
alespoň,alespoń,1743,-6.16819
alpské,alpskeje,1746,-6.08934
alpským,alpskim,1747,-6.86879
amatérští,amateršći,1748,-6.84813
analytické,analitiskeje,1759,-6.45108
analyzování,analizowanje,1760,-6.9136
analýzy,analizy,1761,-6.76501
antarktické,antarktiskeje,1769,-6.35013
antilopy,antilopy,1771,-6.20467
aplikací,aplikaci,1772,-6.60092
arašídy,arašidy,1776,-6.03887
asijským,asiskim,1788,-6.2565
asistence,asistanca,1789,-6.11688
asociace,asocijace,1790,-6.03183
autobusy,awtobusy,1813,-6.34607
automobilu,awtomobił,1817,-6.39316
bakterií,bakterina,1829,-6.03298
bezpečné,bezpječne,1854,-6.68757
bezpečného,bezpječneho,1855,-6.43183
bhadžany,bohadžany,1859,-6.29512
bojovníků,bojownika,1914,-6.29663
bouřlivého,bourliweho,1926,-6.42835
božstev,božstewje,1927,-6.11523
buddhismus,budźdhismus,1946,-6.65154
budoucnu,buducnu,1950,-6.38713
byzantskou,byzantisku,1976,-6.4075
byznysmena,byznysmjena,1979,-6.12593
celosvětově,celoswětowje,2017,-6.09373
celoželezné,celoželezne,2019,-6.99323
cestovatelky,cestowaćelki,2044,-6.47533
chhappan,chhappan,2068,-6.72953
chladnější,chladněši,2073,-6.4707
chtějí,chtěja,2093,-6.16605
chybět,chybět,2101,-6.64104
chytří,chitři,2106,-6.02949
civilizace,ciwilizace,2113,-6.84168
civilní,ciwilnje,2114,-6.64971
cizinci,cizinci,2117,-6.90723
cukrových,cukrowych,2127,-6.28308
curry,kurjery,2128,-6.53661
cyklistických,cyklistiskich,2131,-6.34998
cyklů,cykło,2135,-6.80734
cílů,cela,2140,-6.27206
daňové,dańowy,2170,-6.37801
definují,dźefinja,2181,-6.5655
desítky,dźesitki,2197,-6.64109
detaily,dźetili,2199,-6.69333
determinismus,dźećerminismus,2202,-6.7837
dešťových,dźešćowych,2208,-6.51704
diabetes,dźijabjećes,2210,-6.5416
digitálních,dźigitalnich,2213,-6.37377
dinosaurů,dźinosakuro,2218,-6.66623
dinosauři,dźinosakuri,2219,-6.4813
diplomatické,dźiplomatiskeje,2222,-6.13564
diplomatickém,dźiplomatiskem,2223,-6.80621
disciplinárních,dźisciplinarnich,2224,-6.95719
distribuce,dźistribucija,2231,-6.1941
dlouhotrvajících,dołhotrwajicich,2248,-6.73838
dnešní,dneše,2257,-6.32307
dobyvatelů,dobiwaćela,2273,-6.24953
dokumentu,dokumjentu,2307,-6.04359
dokumentů,dokumjento,2309,-6.34668
domestikovány,domjestikowany,2318,-6.07543
domácností,domacnosći,2332,-6.61938
doporučení,doporučenje,2348,-6.00764
doporučujeme,doporučujemje,2351,-6.01024
dospívajících,dospiwajicich,2369,-6.10362
dospělými,dospelimi,2376,-6.26534
dosáhnout,dosahnyć,2400,-6.53122
doufají,dufaja,2404,-6.14982
drápy,drapy,2438,-6.02042
duální,dualnje,2445,-6.25164
duševnímu,dušewnimu,2446,-6.75701
dvacátého,dwacateho,2448,-6.19418
dvanácti,dwanašći,2451,-6.48081
dvanáctého,dwanasteho,2452,-6.85891
dynastií,dynastiski,2467,-6.70575
dýmky,dymki,2493,-6.64315
dědictví,dźědźistwo,2494,-6.32765
dědictvím,dźědźistwom,2495,-6.4842
dějištěm,dźějišćem,2499,-6.87102
dělníky,dźelniki,2503,-6.11697
důkazů,dokazo,2517,-6.35907
důkladnou,dokładno,2518,-6.0613
důrazně,doraznje,2526,-6.76542
důsledků,dósledka,2529,-6.883
důvodů,dowoda,2535,-6.41897
důvěryhodné,dwěryhódny,2536,-6.27757
ekonomicky,ekonomiski,2547,-6.31778
ekonomiky,ekonomiki,2551,-6.75398
ekvádorských,ekwadorskich,2555,-6.61097
elektrárně,jelektrarne,2560,-6.43468
entomology,jentomology,2571,-6.41694
espresso,espresso,2579,-6.28103
etnické,jetniskeje,2581,-6.69058
etnického,jetniskejeho,2582,-6.3796
evropské,europskeje,2587,-6.24139
extra,jextra,2610,-6.70601
falklandská,falkłandiska,2618,-6.05962
festivalu,fastiwalu,2629,-6.03398
festivalů,fastiwało,2630,-6.70533
filozofických,filozofiskich,2640,-6.59537
fiskálním,fiskalnim,2650,-6.09547
formulovat,forjemulowat,2659,-6.05272
formát,formać,2665,-6.05264
formáty,formaty,2668,-6.72929
formě,formje,2670,-6.12671
fosforem,fosforjem,2671,-6.0414
fosílie,fosilija,2672,-6.0153
fotbal,fotbal,2674,-6.02428
fotbalový,fotbalowy,2676,-6.68067
fotbalovým,fotbalowym,2677,-6.40474
fotograf,fotograf,2680,-6.40697
fotografií,fotografije,2683,-6.97032
fotografovat,fotografowat,2684,-6.4689
frontman,frontman,2694,-6.30949
fungovala,fungowala,2698,-6.25482
galaxie,galaxija,2716,-6.94299
geeky,gejeki,2722,-6.51982
generací,genjeraci,2724,-6.46672
genetickou,genetiske,2725,-6.72209
graffiti,graffiti,2741,-6.95125
gramatiku,gramatiku,2744,-6.0811
hardwaru,hardwaru,2752,-6.92237
havárii,hawarini,2753,-6.23423
hedvábí,hedwabi,2755,-6.9294
hmyz,hmyz,2802,-6.09961
hmyzem,hmyzem,2803,-6.33747
holubiček,hołbička,2827,-6.12908
hurikánu,hurikanu,2888,-6.24654
hřbitově,hrbitowje,2898,-6.83474
iluminované,iluminowanje,2908,-6.81701
ilustraci,ilustraci,2909,-6.93588
imperativ,imperatiw,2911,-6.02189
implantaci,implantaci,2913,-6.08528
infikovaných,infikowanych,2924,-6.89117
inspirovala,inspirowala,2940,-6.37101
inspiruje,inspiruje,2941,-6.58902
interakcí,interakci,2947,-6.6521
internetové,internetowy,2949,-6.44904
internetového,internetoweho,2950,-6.1644
intervencím,interwjencim,2954,-6.87243
inženýři,inženjeri,2958,-6.15263
izolují,izoluje,2969,-6.52657
jakousi,jakusi,2979,-6.35349
jakékoliv,jakokoliw,2983,-6.12464
jakési,jakejesi,2985,-6.6776
jedenáctý,jedźenasty,3006,-6.72628
jednotlivců,jednotliwco,3035,-6.41233
jejímž,jejimž,3060,-6.38662
jeptišky,jeptiški,3074,-6.56289
jezdců,jezdło,3086,-6.67053
jízdenku,jězdźeńku,3145,-6.61399
józe,joze,3152,-6.28626
kalifornské,kalifornskeje,3162,-6.91415
