source,hyp,id,score
1,1,3,-2.89149
2,2,69,-2.89149
3,3,111,-2.89149
A,A,173,-2.84242
Ale,Hlej,195,-2.45908
Boba,Boba,297,-2.6362
Buďte,Budźće,320,-2.0617
Dani,Dani,386,-2.91753
Davidu,Dawidu,395,-2.15456
Dejte,Dajće,398,-2.69584
Do,Do,410,-2.55079
Dále,Dale,440,-2.73786
Děti,Dźěći,443,-2.53467
Jako,Jako,658,-2.11684
Jamie,Jamija,662,-2.41032
Javánská,Jawanska,667,-2.76478
Je,Je,668,-2.1156
Jeden,Jedźeń,669,-2.28165
Jediný,Jedźiny,672,-2.58476
Jednalo,Jednało,674,-2.93216
Jednoduchá,Jednoducha,675,-2.73981
Jedním,Jednim,678,-2.54715
Jejich,Jejich,680,-2.77392
Katrina,Katrina,728,-2.50373
Machu,Machu,844,-2.98655
Marian,Marian,855,-2.83281
Marie,Marija,857,-2.33866
Marion,Marion,858,-2.04194
Moje,Moje,908,-2.00517
Most,Mosć,918,-2.8605
Na,Na,949,-2.44404
Nebo,Njebo,962,-2.90578
Nebude,Njebudźe,963,-2.51808
Norska,Norska,1010,-2.85889
On,Won,1075,-2.44099
One,Wone,1076,-2.97967
Pa,Pa,1099,-2.73614
Pak,Pak,1104,-2.31819
Palestina,Palesćina,1105,-2.40559
Perština,Paršćina,1128,-2.19227
Po,Po,1143,-2.50543
Pod,Podź,1145,-2.22792
Podle,Podla,1147,-2.98759
Policie,Policija,1156,-2.18625
Polo,Poło,1157,-2.61148
Polsku,Pólskej,1159,-2.50971
Postaráme,Postaramje,1167,-2.42078
Pro,Pro,1192,-2.06237
Program,Program,1194,-2.77253
Před,Před,1223,-2.29358
Přesto,Presto,1231,-2.85907
Při,Při,1233,-2.77753
Sara,Sakra,1312,-2.22761
Se,Se,1329,-2.92867
Shore,Sehorje,1348,-2.79347
Sie,Sija,1353,-2.73426
Svobodné,Swobodny,1435,-2.6725
Světová,Swětowa,1436,-2.91108
Tak,Tak,1455,-2.33944
Tam,Tam,1459,-2.52687
Tato,Tato,1464,-2.74261
Tony,Tony,1494,-2.56991
Toto,Toto,1496,-2.25977
Tuto,Tuto,1513,-2.66563
Tým,Tym,1521,-2.19334
Váš,Waš,1606,-2.41329
Za,Za,1654,-2.46853
Značka,Značka,1683,-2.42569
aby,by,1705,-2.73913
abych,bych,1706,-2.07183
aj,ja,1723,-2.46472
aktivita,aktiwita,1729,-2.84254
and,andź,1763,-2.43707
anglická,angliska,1765,-2.99944
ani,ani,1767,-2.59511
aniž,aniž,1768,-2.92879
bance,banca,1834,-2.45256
bez,bez,1846,-2.75301
bien,bijan,1864,-2.38604
bitvami,bitwami,1872,-2.91474
bity,bity,1874,-2.95097
blokovat,blokowat,1882,-2.84088
blízké,bliskeje,1891,-2.91995
blízkého,bliskejeho,1892,-2.60898
blízký,bliski,1893,-2.58513
blízkých,bliskich,1894,-2.66142
bodech,bodech,1898,-2.51147
bodu,bodu,1899,-2.70479
bohaté,bohaće,1904,-2.03494
bohatí,bohaći,1905,-2.09563
bohů,boho,1907,-2.75227
bohům,boham,1908,-2.85923
boji,boji,1910,-2.3996
boku,boku,1918,-2.64141
boty,boty,1923,-2.89961
branky,branki,1932,-2.94859
breaku,breaku,1934,-2.73494
britské,britiskeje,1936,-2.84846
britského,britiskejeho,1937,-2.53749
brouk,bruk,1940,-2.71486
budov,budow,1953,-2.6403
budovy,budowy,1954,-2.57526
buď,budź,1961,-2.18122
byla,byla,1969,-2.45409
byli,byli,1970,-2.71202
