source,hyp,id,score
11,11,12,-5.78286
12,12,17,-5.78286
13,13,20,-5.78286
21,21,92,-5.78286
31,31,117,-5.78286
Africa,Africa,186,-5.10105
Afrika,Afrika,188,-5.57554
Alden,Hldźeń,194,-5.18193
Alonso,Hlonso,197,-5.90204
Angel,Angel,211,-5.98897
Anna,Anna,214,-5.16149
Anny,Anny,215,-5.93155
Apia,Apija,218,-5.41024
Arba,Aerba,222,-5.28234
Asie,Asija,236,-5.89767
Atlantský,Atlantiski,242,-5.61127
Atomy,Atomy,244,-5.46045
Ačkoli,Ačkoli,261,-5.45461
Baltské,Baltiskeje,272,-5.88439
Bangladéše,Bangladeše,274,-5.53224
Batchelora,Batchelora,276,-5.44331
Bavorsku,Baworskej,277,-5.38474
Bay,Bay,278,-5.45538
Berliner,Berlinjer,281,-5.18613
Berlín,Berlin,282,-5.74514
Bieber,Bijebjer,287,-5.53512
Binární,Binarne,288,-5.67767
Blogování,Blogowanje,293,-5.32771
Blízkého,Bliskejeho,295,-5.09414
Blízkému,Bliskemu,296,-5.22085
Británii,Britanii,309,-5.93336
Brzy,Brzy,312,-5.18384
Bush,Bush,317,-5.71391
Byl,Byl,321,-5.35815
Bylo,Było,324,-5.34518
Camille,Camile,334,-5.78273
Celých,Calich,344,-5.86646
Chaco,Chaco,351,-5.16723
Chase,Chasa,356,-5.90015
Chrámem,Chramjem,361,-5.496
City,City,364,-5.59525
Další,Dalši,384,-5.65805
Dalším,Dalšěm,385,-5.23548
Danielle,Danijale,387,-5.14123
Demokratické,Domokratiskeje,401,-5.13589
Divadle,Diwadło,405,-5.56446
Donald,Donad,417,-5.70255
Dundee,Dundźeje,430,-5.00087
Duvall,Duwal,435,-5.26028
Ed,Ed,447,-5.44127
Eee,Eeje,452,-5.84264
Ehud,Ehud,456,-5.91118
Epocha,Epocha,464,-5.56701
Erik,Erik,468,-5.32373
Evropa,Ewropa,471,-5.8548
Hamilton,Hamilton,574,-5.81179
Harper,Harper,580,-5.77141
Historici,Historici,592,-5.9222
Hodnota,Hodnota,596,-5.08157
Hong,Hong,599,-5.3846
Horká,Horka,603,-5.28319
Huhne,Huhnje,612,-5.62706
Ilha,Ihła,618,-5.21503
Inc,Inc,619,-5.55195
Indie,Indźija,621,-5.55986
Islandu,Islandu,637,-5.13926
Italský,Italski,641,-5.76407
Itálie,Italija,643,-5.91455
Izáka,Isaka,649,-5.16864
Jackem,Jaskem,652,-5.0305
Jakartě,Jakarće,656,-5.34831
Jakmile,Jakmile,657,-5.11299
Jakékoliv,Jakokoliw,659,-5.95301
Jamese,Jamjesa,661,-5.22741
Japonsko,Japónsko,663,-5.44967
Japonsku,Japónskej,664,-5.47186
Japonské,Japónskeje,666,-5.26598
Jedinečné,Jedźinječne,670,-5.68446
Jelínek,Jelinak,684,-5.23887
Jordánského,Jordanskejeho,704,-5.6142
Julia,Julija,707,-5.17973
Kariwa,Kariwa,723,-5.35261
Ke,He,732,-5.18812
Kolo,Hoło,748,-5.03636
Komorách,Homorach,751,-5.34872
Koncem,Kóncom,753,-5.41643
Kongo,Hongo,757,-5.85801
Koreje,Horeje,767,-5.95207
Kvalita,Hwalita,787,-5.39302
Kůra,Kóra,791,-5.43032
Lady,Lady,794,-5.34057
Land,Landź,797,-5.28878
Led,Lědź,805,-5.14347
Lee,Leje,806,-5.62797
